,id,retweet_count,favorite_count
691,775733305207554048,4336,14679
692,777684233540206592,3200,11911
693,780476555013349377,126,0
694,775085132600442880,5117,16481
695,775898661951791106,17807,0
696,776249906839351296,9913,0
697,777641927919427584,4608,0
698,778764940568104960,399,912
699,782021823840026624,6782,0
700,776477788987613185,3026,9380
701,776813020089548800,1315,5175
702,785927819176054784,3453,12107
703,781163403222056960,2976,10381
704,773704687002451968,1757,6986
705,785872687017132033,1987,7117
706,774639387460112384,1871,7117
707,786051337297522688,168,1536
708,772877495989305348,4190,9083
709,776218204058357768,17309,31842
710,783347506784731136,6094,0
711,781524693396357120,6028,22062
712,778383385161035776,1202,6205
713,774757898236878852,1916,9066
714,783085703974514689,2417,8654
715,773922284943896577,1873,6776
716,784517518371221505,2768,9548
717,780800785462489090,1414,5846
718,785170936622350336,5296,12889
719,779056095788752897,4914,15714
720,778650543019483137,1622,6115
721,773191612633579521,4446,10583
722,777189768882946048,4691,15218
723,773670353721753600,1399,5635
724,780092040432480260,2501,0
725,780192070812196864,2430,9257
726,776819012571455488,14913,0
727,784431430411685888,1397,6062
728,778774459159379968,10831,0
729,779834332596887552,7702,20160
730,785515384317313025,1370,6500
731,786036967502913536,7702,0
732,776201521193218049,2730,10180
733,785264754247995392,1780,7739
734,779377524342161408,3383,9370
735,780074436359819264,5422,13014
736,780496263422808064,4034,0
737,777885040357281792,1781,6758
738,780931614150983680,7979,23000
739,783839966405230592,11771,31982
740,782598640137187329,2037,8274
741,778990705243029504,7886,21261
742,783695101801398276,3515,11123
743,785533386513321988,2185,9700
744,784826020293709826,3526,10795
745,773308824254029826,8078,24630
746,778408200802557953,4718,14506
747,781661882474196992,2948,11103
748,783334639985389568,12742,31087
749,786233965241827333,5203,16309
750,782722598790725632,5883,18393
751,777621514455814149,2701,9304
752,785639753186217984,2419,8326
753,778624900596654080,1095,4932
754,781655249211752448,1217,4259
755,782747134529531904,1517,7937
756,782969140009107456,7999,25658
757,773247561583001600,3481,9972
758,777953400541634568,3824,0
